record_id,farm_id,animal_id,breed,age_years,lactation_number,days_in_milk,previous_mastitis,disease_history,vaccination_status,treatment_history,milk_yield_l_day,scc_cells_ml,milk_conductivity_ms_cm,milk_temperature_c,body_temperature_c,udder_surface_temperature_c,activity_percent,rumination_min_day,feeding_behavior_score,water_intake_l_day,feed_quality_score,hygiene_score,housing_condition_score,milking_hygiene_score,worker_hygiene_score,milking_frequency_per_day,milking_schedule,ambient_temperature_c,relative_humidity_percent,climate_risk,co_morbidity,sensor_status,ai_risk_score,risk_category,mastitis_within_7_14_days,forecast_lead_days
REC-00001,FARM-013,COW-103,Other,4.1,5,21,0,No previous mastitis,Up to date,Supportive treatment,16.14,79553,5.15,39.22,39.23,37.48,76.1,487.0,7.1,73.8,10.0,5.0,5.4,7.0,8.8,3,Morning/Evening,32.1,58.3,Moderate,0,Normal,5.3,No Risk,0,0
REC-00002,FARM-019,COW-436,HF Cross,4.7,3,18,0,No previous mastitis,Up to date,Anti-inflammatory treatment,18.2,631649,6.14,38.45,38.53,37.79,81.8,503.0,9.0,56.4,10.0,7.8,8.6,6.8,7.5,2,Morning/Evening,25.9,68.4,Low,0,Normal,6.1,No Risk,0,0
REC-00003,FARM-029,COW-349,HF Cross,5.5,5,271,0,No previous mastitis,Overdue,None,14.44,1072351,6.25,38.23,38.29,38.61,78.8,311.0,6.8,58.5,7.0,4.5,5.4,6.3,7.4,2,Morning/Evening,18.0,71.9,Low,1,Normal,38.9,Low Risk,0,0
REC-00004,FARM-003,COW-271,Jersey,6.1,2,219,1,Previous mastitis,Up to date,None,6.56,118142,5.5,39.08,39.11,38.06,80.7,505.0,8.1,57.1,4.8,4.8,10.0,7.3,8.4,2,Morning/Evening,27.5,76.2,Moderate,0,Intermittent,37.5,Low Risk,0,0
REC-00005,FARM-026,COW-107,HF Cross,6.0,4,121,1,Previous mastitis,Up to date,Antibiotic treatment,15.38,235136,5.61,38.99,39.09,37.75,53.1,425.0,7.6,89.4,3.8,7.2,6.2,7.0,8.6,2,Morning/Evening,36.6,76.3,High,0,Normal,17.1,No Risk,0,0
REC-00006,FARM-040,COW-072,Sahiwal,4.2,3,62,0,No previous mastitis,Up to date,Supportive treatment,7.98,229764,,38.67,38.85,37.69,67.9,306.0,6.5,65.1,8.0,7.5,9.6,8.3,6.6,2,Morning/Evening,32.6,71.7,High,0,Normal,31.1,Low Risk,0,0
REC-00007,FARM-012,COW-189,Sahiwal,5.4,2,97,1,Previous mastitis,Up to date,Anti-inflammatory treatment,9.3,276976,5.85,38.59,38.57,37.84,63.7,347.0,8.0,39.7,6.9,7.4,8.7,10.0,7.1,2,Morning/Evening,21.9,78.3,Moderate,0,Maintenance,31.2,Low Risk,1,14
REC-00008,FARM-002,COW-021,Other,4.5,3,251,0,No previous mastitis,Partially up to date,Supportive treatment,6.2,249362,6.56,38.65,38.66,37.91,76.1,405.0,5.4,63.3,8.4,6.1,6.5,4.8,7.5,2,Morning/Noon/Evening,32.0,86.7,High,0,Normal,44.6,Moderate Risk,0,0
REC-00009,FARM-011,COW-103,HF Cross,2.6,3,129,0,No previous mastitis,Partially up to date,Antibiotic treatment,13.46,103714,5.49,38.72,38.82,37.61,95.0,500.0,7.7,73.7,6.6,6.0,8.7,5.1,8.4,2,Morning/Evening,29.9,78.2,Moderate,0,Normal,4.6,No Risk,0,0
REC-00010,FARM-044,COW-122,Gir,5.6,3,246,1,Previous mastitis,Up to date,None,10.52,256125,6.46,38.89,38.66,38.55,97.3,637.0,8.9,55.9,9.5,10.0,8.6,7.4,6.9,2,Morning/Evening,27.3,80.7,Moderate,1,Normal,27.8,Low Risk,0,0
REC-00011,FARM-028,COW-467,HF Cross,7.5,2,10,0,No previous mastitis,Partially up to date,Antibiotic treatment,20.86,295131,6.31,38.19,38.3,38.07,69.7,500.0,9.2,48.4,5.8,5.5,6.5,6.9,6.3,2,Morning/Evening,24.1,57.3,Low,0,Intermittent,6.1,No Risk,0,0
